Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Hardware material (product.metafields.shopify.hardware-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
curved-shell-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/27-IMG_3873.jpg?v=1770473519,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curved-shell-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/26-IMG_3875.jpg?v=1770473519,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curve-thick-band-silver-ep,CURVE THICK BAND SILVER EP,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Earrings,Ear hoop,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1450000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/11-IMG_3908.jpg?v=1770473518,1,"",false,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
curve-thick-band-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/12-IMG_3906.jpg?v=1770473517,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curve-thick-band-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/13-IMG_3904.jpg?v=1770473519,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stair-silver-ep,STAIR SILVER EP,"",VIETJEWELERS,Hardware > Building Materials > Handrails & Railing Systems > Handrails,Ear hoop,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1250000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/19-IMG_3892.jpg?v=1770473520,1,"",false,,,499949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
stair-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/20-IMG_3891.jpg?v=1770473517,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stair-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/21-IMG_3886.jpg?v=1770473520,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single-herkimer-silver-ring,SINGLE HERKIMER SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,2250000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/7-IMG_3913.jpg?v=1770473519,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
single-herkimer-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/6-IMG_3914.jpg?v=1770473520,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single-herkimer-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/5-IMG_3915.jpg?v=1770473520,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opal-lab-silver-ring,OPAL LAB SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1350000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/4-IMG_3916.jpg?v=1770473519,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
opal-lab-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/3-IMG_3917.jpg?v=1770473520,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opal-lab-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/2-IMG_3919.jpg?v=1770473519,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
